# Fish Larvae Concentration Database
# Created for academic purposes by Amelia Sánchez-Pérez
# longitude and latitude are in decimal degrees, concentration is expressed in fish larvae/10 m^2.
longitude,latitude,concentration
-113.7133853,29.6021182,
-113.5650646,29.7113803,
-113.4146118,29.8213179,
-113.2629406,29.9358952,
-112.9385341,29.8729337,
-113.0386348,29.7929841,5
-113.1344604,29.7166813,
-113.2363886,29.6379332,
-113.3309960,29.5609816,1
-113.1484979,29.3827069,11
-113.0541229,29.4606244,8
-112.9600525,29.5367563,
-112.8659821,29.6134610,
-112.7719116,29.6904388,
-112.5887991,29.5219527,
-112.6964187,29.4360428,
-112.8031921,29.3496279,
-112.9099274,29.2637387,
-113.0169666,29.1761452,
-112.8744489,29.0364270,7
-112.7310943,29.1575581,20
-112.5872920,29.2784135,18
-112.5961304,29.0785758,15
-112.7519989,28.9488233,35
-112.9080118,28.8190084,
-112.7737445,28.6905877,5
-112.6358009,28.8168695,65
-112.4523889,28.6464066,50
-112.5900654,28.5310464,25
-112.7325403,28.4174387,30
-112.5793464,28.2672950,65
-112.4546433,28.3704241,50
-112.3307419,28.4702003,5
-112.2064590,28.5718925,
-112.0822096,28.6731852,5
-111.9067383,28.5110701,10
-112.0378876,28.4034808,
-112.1696474,28.2964540,
-112.3022461,28.1887816,
-112.4346965,28.0827508,15
